,record,precinct,ballot_style,rank1,rank2,rank3,rank4,rank5,does_not_rank_any_continuing_candidate,highest_continuing_rank,rank_choice_in_continuing_candidate_set,overvote,two_consecutive_skipped_rankings,exhausted,highest_ranked_continuing_candidate
77331,155467,Lincoln,CAN Ballot Style 177,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
77800,156446,Lincoln,CAN Ballot Style 177,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
78803,158427,Hermon,CAN Ballot Style 150,undervote,"DEM Golden, Jared F.",undervote,"REP Poliquin, Bruce",undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
80870,162515,Hermon,CAN Ballot Style 150,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
81179,163188,Hermon,CAN Ballot Style 150,undervote,"Hoar, William R.S.","Bond, Tiffany L.","DEM Golden, Jared F.","REP Poliquin, Bruce",False,2,False,False,False,False,"Hoar, William R.S."
81394,163611,Hermon,CAN Ballot Style 150,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
82086,164988,Lagrange,CAN Ballot Style 57,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.",undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
82256,165344,Lagrange,CAN Ballot Style 57,undervote,"DEM Golden, Jared F.",undervote,undervote,undervote,False,2,False,False,False,False,"DEM Golden, Jared F."
82340,165509,Levant,CAN Ballot Style 136,undervote,"REP Poliquin, Bruce","Bond, Tiffany L.","DEM Golden, Jared F.","Hoar, William R.S.",False,2,False,False,False,False,"REP Poliquin, Bruce"
82439,165718,Levant,CAN Ballot Style 136,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
82537,165925,Levant,CAN Ballot Style 136,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
82662,166180,Levant,CAN Ballot Style 136,undervote,"Bond, Tiffany L.","Hoar, William R.S.",undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
83116,167067,Levant,CAN Ballot Style 136,undervote,"REP Poliquin, Bruce",undervote,undervote,undervote,False,2,False,False,False,False,"REP Poliquin, Bruce"
83207,167253,Levant,CAN Ballot Style 136,undervote,"DEM Golden, Jared F.","Bond, Tiffany L.","Hoar, William R.S.","REP Poliquin, Bruce",False,2,False,False,False,False,"DEM Golden, Jared F."
83882,168432,Hampden,CAN Ballot Style 147,undervote,"Bond, Tiffany L.",undervote,undervote,undervote,False,2,False,False,False,False,"Bond, Tiffany L."
